"gu","dong","car","Hyd_car","lat","lng","r1","r2","r3","r4","r1_from","r2_from","r3_from","r4_from"
"용산구","갈월동",987,0,37.5449357,126.9730564,0.059586952,0.097229237,0.097549861,0.235739379,"여의도","상암","양재","하남"
"용산구","남영동",245,0,37.5428503,126.9733899,0.059456699,0.095720659,0.09816351,0.235294538,"여의도","양재","상암","하남"
"용산구","용산동1가",13,0,37.5402662,126.976971,0.062529276,0.091458016,0.102370505,0.23160302,"여의도","양재","상암","하남"
"용산구","동자동",989,0,37.5515203,126.9729154,0.061340433,0.095417675,0.10285086,0.236353218,"여의도","상암","양재","하남"
"용산구","서계동",1250,0,37.5526054,126.9665239,0.05577657,0.088945638,0.107620639,0.242814784,"여의도","상암","양재","하남"
"용산구","청파동1가",1705,0,37.5488937,126.9671721,0.05505096,0.090483539,0.104341521,0.241870262,"여의도","상암","양재","하남"
"용산구","청파동2가",717,0,37.5462385,126.9666851,0.053773669,0.090753227,0.102638683,0.242177301,"여의도","상암","양재","하남"
"용산구","청파동3가",662,0,37.5433004,126.9666026,0.052929582,0.091576003,0.100497931,0.242095795,"여의도","상암","양재","하남"
"용산구","원효로1가",2004,0,37.5399032,126.9675517,0.053172519,0.093611976,0.097357,0.241002194,"여의도","상암","양재","하남"
"용산구","원효로2가",792,0,37.5363505,126.9634639,0.048622716,0.09115425,0.097710366,0.244987909,"여의도","상암","양재","하남"
"용산구","신창동",619,0,37.5358397,126.9549627,0.040120444,0.083652699,0.10369379,0.253477603,"여의도","상암","양재","하남"
"용산구","산천동",1696,0,37.5357089,126.9515061,0.03667533,0.080624877,0.106273926,0.256931351,"여의도","상암","양재","하남"
"용산구","청암동",275,0,37.5342588,126.9468778,0.031907351,0.077254898,0.109035047,0.261538347,"여의도","상암","양재","하남"
"용산구","원효로3가",1140,0,37.5343201,126.9577323,0.042721385,0.086808703,0.100599822,0.250685329,"여의도","상암","양재","하남"
"용산구","원효로4가",1483,0,37.532933,126.9506456,0.035555459,0.081185714,0.105231711,0.257758803,"여의도","상암","양재","하남"
"용산구","효창동",2732,0,37.543576,126.9607221,0.047306372,0.085934407,0.104736365,0.247982725,"여의도","상암","양재","하남"
"용산구","도원동",1688,0,37.538784,126.9562609,0.041863291,0.083581073,0.104649721,0.252250217,"여의도","상암","양재","하남"
"용산구","용문동",1727,0,37.5377219,126.9597098,0.045081782,0.087165109,0.101385158,0.248773034,"여의도","상암","양재","하남"
"용산구","문배동",2154,0,37.5371288,126.9690034,0.054214795,0.094343722,0.095967247,0.239467428,"여의도","양재","상암","하남"
"용산구","신계동",1197,0,37.535453,126.9646994,0.049760239,0.092645887,0.096197215,0.2437356,"여의도","상암","양재","하남"
"용산구","한강로1가",4733,0,37.5358426,126.9730991,0.058161518,0.090609602,0.100248348,0.235344442,"여의도","양재","상암","하남"
"용산구","한강로2가",3188,0,37.5312807,126.9686035,0.053455942,0.090492086,0.097924735,0.239795501,"여의도","양재","상암","하남"
"용산구","용산동3가",226,0,37.5321655,126.9762897,0.061154045,0.085742758,0.104592341,0.232111051,"여의도","양재","상암","하남"
"용산구","용산동5가",963,0,37.5256032,126.9740049,0.059092691,0.082666097,0.105260505,0.234462446,"여의도","양재","상암","하남"
"용산구","한강로3가",3194,0,37.5280446,126.9632299,0.048164903,0.092349648,0.094569749,0.245190237,"여의도","양재","상암","하남"
"용산구","이촌동",14534,1,37.5188354,126.9651352,0.051418726,0.085186992,0.100859273,0.243581088,"여의도","양재","상암","하남"
"용산구","이태원동",4821,0,37.538862,126.9922782,0.0775403,0.081550311,0.117385633,0.216254317,"여의도","양재","상암","하남"
"용산구","한남동",7210,0,37.5374384,127.0060971,0.074077452,0.091183686,0.131053774,0.202396102,"양재","여의도","상암","하남"
"용산구","동빙고동",2160,0,37.5235803,126.995177,0.067160652,0.080360956,0.125332355,0.213360401,"양재","여의도","상암","하남"
"용산구","서빙고동",2160,0,37.5191265,126.991401,0.065965773,0.077153745,0.123731429,0.217337183,"양재","여의도","상암","하남"
"용산구","주성동",296,0,37.5215716,127.0002868,0.062632426,0.085646017,0.130820664,0.20833778,"양재","여의도","상암","하남"
"용산구","용산동6가",57,0,37.5168611,126.9842128,0.069245018,0.070473842,0.118346837,0.224648383,"양재","여의도","상암","하남"
"용산구","보광동",3162,1,37.5268849,127.0017003,0.06646363,0.086643825,0.130157425,0.206745082,"양재","여의도","상암","하남"
"성동구","상왕십리동",1227,0,37.5684665,127.0255499,0.099965399,0.116621192,0.145726428,0.186595336,"양재","여의도","상암","하남"
"성동구","하왕십리동",9109,0,37.5643661,127.0285933,0.09565647,0.118280989,0.148942605,0.182827347,"양재","여의도","상암","하남"
"성동구","홍익동",1050,1,37.5671038,127.0327203,0.098243914,0.123022741,0.152938006,0.179297231,"양재","여의도","상암","하남"
"성동구","도선동",1129,0,37.5634228,127.0332231,0.094557149,0.122474513,0.153619606,0.178103297,"양재","여의도","상암","하남"
"성동구","마장동",8274,0,37.5670762,127.0407445,0.098428702,0.13070507,0.160958004,0.171436709,"양재","여의도","상암","하남"
"성동구","사근동",1213,0,37.5589469,127.046752,0.090956928,0.134560958,0.164000291,0.167434685,"양재","여의도","하남","상암"
"성동구","행당동",12444,1,37.5591737,127.0352497,0.090310641,0.123386624,0.155954442,0.175384239,"양재","여의도","상암","하남"
"성동구","응봉동",4636,0,37.5505366,127.0348586,0.08166985,0.1213114,0.156554386,0.174607284,"양재","여의도","상암","하남"
"성동구","금호동1가",4909,0,37.5530419,127.0213783,0.085132336,0.108514789,0.142856183,0.18828441,"양재","여의도","상암","하남"
"성동구","금호동2가",2958,0,37.5525166,127.0217884,0.084552166,0.108810652,0.143335532,0.187816903,"양재","여의도","상암","하남"
"성동구","금호동3가",3376,0,37.5499287,127.0195552,0.082358592,0.106128238,0.141518948,0.189763937,"양재","여의도","상암","하남"
"성동구","금호동4가",4515,0,37.5452026,127.0229976,0.077140107,0.108794431,0.145735936,0.185924618,"양재","여의도","상암","하남"
"성동구","옥수동",8688,2,37.5420259,127.0219996,0.074154786,0.107429528,0.145393687,0.186709814,"양재","여의도","상암","하남"
"성동구","성수동1가",15508,0,37.5431193,127.0416554,0.074629687,0.127096318,0.164457984,0.167164519,"양재","여의도","상암","하남"
"성동구","성수동2가",15190,0,37.5407489,127.0571063,0.075461822,0.142299376,0.151589724,0.180083718,"양재","여의도","하남","상암"
"성동구","송정동",2968,0,37.5541037,127.0621614,0.089724818,0.148010431,0.148834185,0.183225126,"양재","하남","여의도","상암"
