"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"중구","충무로4가",641,NA,108,11140132,"Chungmuro 4(sa)-ga",37.5623108,126.995975,0.086719286,0.100930606,0.11655608,0.214680832
"중구","충무로5가",259,NA,94,11140133,"Chungmuro 5(o)-ga",37.5625808,126.9995908,0.09019341,0.099873272,0.120134703,0.211143568
"중구","인현동2가",202,NA,169,11140134,"Inhyeon-dong 2(i)-ga",37.5641432,126.9962711,0.087673847,0.102519652,0.116701802,0.214660867
"중구","예관동",262,NA,178,11140135,"Yegwan-dong",37.5640814,126.9980377,0.089287952,0.101822713,0.118468177,0.21290575
"중구","묵정동",306,NA,129,11140136,"Mukjeong-dong",37.5614488,127.0005452,0.090699909,0.098482349,0.121185894,0.210034103
"중구","필동1가",186,NA,227,11140137,"Pil-dong 1(il)-ga",37.561147,126.9924128,0.082977719,0.101268798,0.113121892,0.218043648
"중구","필동2가",529,NA,154,11140138,"Pildong 2(i)-ga",37.5577913,126.9949767,0.084239238,0.097159552,0.116056811,0.215064585
"중구","필동3가",428,NA,155,11140139,"Pil-dong 3(sam)-ga",37.5577553,126.9973738,0.086503003,0.096185315,0.118438906,0.212681508
"중구","남학동",19,NA,205,11140140,"Namhak-dong",37.5605244,126.9909105,0.081351835,0.101333382,0.111693949,0.219447986
"중구","주자동",28,NA,25,11140141,"Juja-dong",37.5606513,126.989397,0.079991372,0.102102146,0.110175655,0.220964905
"중구","예장동",383,NA,156,11140142,"Yejang-dong",37.5551793,126.9897761,0.078481025,0.09703898,0.111283587,0.219927065
"중구","장충동1가",611,NA,248,11140143,"Jangchung-dong 1(il)-ga",37.5610374,127.0076398,0.097280699,0.095898698,0.128288219,0.20295495
"중구","장충동2가",797,1,23,11140144,"Jangchung-dong 2(i)-ga",37.55526,127.0003341,0.088603023,0.092765268,0.121709163,0.209444051
"중구","광희동1가",241,NA,249,11140145,"Gwanghui-dong 1(il)-ga",37.5650378,127.0051836,0.096293499,0.100429776,0.125533802,0.206002836
"중구","광희동2가",224,NA,250,11140146,"Gwanghui-dong 2(i)-ga",37.5639442,127.0083467,0.098886418,0.098508284,0.128761134,0.202704016
"중구","쌍림동",300,NA,263,11140147,"Ssangnim-dong",37.5637681,127.0045496,0.095255279,0.099401456,0.124985673,0.206424549
"중구","을지로6가",216,NA,264,11140148,"Euljiro 6(yuk)-ga",37.567505,127.0070795,0.098954644,0.102277039,0.127300979,0.204555497
"중구","을지로7가",53,NA,130,11140149,"Euljiro 7(chil)-ga",37.566416,127.0095181,0.10083534,0.100603021,0.12978602,0.20196355
"중구","을지로4가",105,NA,135,11140150,"Euljiro 4(sa)-ga",37.566393,126.9977069,0.089868859,0.104102727,0.117991463,0.21360058
"중구","을지로5가",218,NA,265,11140151,"Euljiro 5(o)-ga",37.5668186,127.0021802,0.094156454,0.103027753,0.122437229,0.209261375
