고유번호,읍면동코드,읍면동명,읍면동영문명,위도,경도,여의도,양재,상암,하남
201,11170102,용산동2가,yongsan-dong  2(i)-ga,37.5430767,126.9858631,0.07175687,0.088523036,0.1100489,0.222849202
205,11140140,남학동,Namhak-dong,37.5605244,126.9909105,0.081351835,0.101333382,0.111693949,0.219447986
202,11230102,용두동,Yongdu-dong,37.5762335,127.0348716,0.128022324,0.107366061,0.155025081,0.179259629
206,11200111,금호동3가,Geumho-dong 3(sam)-ga,37.5499287,127.0195552,0.106128238,0.082358592,0.141518948,0.189763937
207,11140152,주교동,Jugyo-dong,37.5682735,126.998942,0.091754795,0.10544786,0.119139566,0.212701523
208,11440105,용강동,Yonggang-dong,37.5412882,126.9404514,0.027356455,0.118406401,0.068242721,0.268135042
209,11440112,현석동,Hyeonseok-dong,37.5422601,126.9345406,0.022480187,0.123709965,0.062576712,0.274079072
210,11110178,송월동,Songwol-dong,37.5701811,126.9653066,0.063716031,0.122476934,0.08545877,0.246187846
212,11140158,충무로3가,Chungmuro 3(sam)-ga,37.5622482,126.9919612,0.08296732,0.102458264,0.112564752,0.218644327
214,11110118,내수동,Naesu-dong,37.5733668,126.9721015,0.07104953,0.121520023,0.092217664,0.240019071
217,11230106,장안동,Jangan-dong,37.5711171,127.0674265,0.157501802,0.107531978,0.187547479,0.146497493
218,11215101,중곡동,Junggok-dong,37.5630636,127.0883253,0.176140001,0.108671822,0.208663552,0.124213155
219,11215102,능동,Neung-dong,37.5511328,127.0818921,0.167967596,0.095123007,0.203157868,0.128057663
220,11350105,상계동,Sanggye-dong,37.6664734,127.0723253,0.207575986,0.201260986,0.214055534,0.191827093
222,11230105,답십리동,Dapsipni-dong,37.5699332,127.0551216,0.145316401,0.103220239,0.175257997,0.158079943
198,11140171,중림동,Jungnim-dong,37.5591646,126.9655627,0.057802312,0.113378082,0.086744756,0.24443386
211,11110172,명륜4가,Myeongnyun 4(sa)-ga,37.5823905,126.999806,0.099092458,0.118596125,0.120308084,0.21476722
213,11680108,논현동,Nonhyeon-dong,37.5138347,127.0317062,0.117798115,0.045029979,0.162845382,0.177550348
215,11290103,돈암동,Donam-dong,37.5971818,127.0178324,0.122224173,0.129342684,0.140095879,0.201645197
216,11500112,오곡동,Ogok-dong,37.5534112,126.7831642,0.1338928,0.264822671,0.098633239,0.425811148
221,11140169,의주로1가,Uijuro 1(il)-ga,37.5637065,126.9684915,0.062629675,0.11533592,0.089064294,0.242091149
227,11140137,필동1가,Pil-dong 1(il)-ga,37.561147,126.9924128,0.082977719,0.101268798,0.113121892,0.218043648
239,11110159,원남동,Wonnam-dong,37.575484,126.9976454,0.093778778,0.112683943,0.117791482,0.215342723
247,11140168,순화동,Sunhwa-dong,37.5623459,126.9708088,0.063934441,0.112904022,0.091514419,0.239614665
252,11110162,효제동,Hyoje-dong,37.5733424,127.0034706,0.097995312,0.108878286,0.123586093,0.209203826
260,11110165,이화동,Ihwa-dong,37.5773254,127.0054705,0.101559862,0.112178165,0.125668367,0.208090434
273,11110167,충신동,Chungsin-dong,37.574766,127.0059174,0.100817565,0.109589751,0.126047764,0.207101961
279,11140163,흥인동,Heungin-dong,37.5676493,127.0160091,0.107350608,0.100427671,0.13621807,0.195800316
285,11560113,당산동3가,Dangsan-dong 3(sam)-ga,37.526241,126.8974284,0.018319778,0.148252349,0.049693338,0.311011165
286,11530102,구로동,Guro-dong,37.4937929,126.8849584,0.047828012,0.151239271,0.079104895,0.325603908
289,11710105,석촌동,Seokchon-dong,37.502828,127.1041069,0.191029976,0.077781182,0.234865921,0.108099252
291,11545103,시흥동,Siheung-dong,37.4497033,126.9106965,0.081306705,0.124912735,0.126830935,0.308672847
292,11560117,당산동,Dangsan-dong,37.534892,126.9024679,0.013298207,0.147288197,0.044068525,0.305952611
293,11410119,북가좌동,Bukgajwa-dong,37.5791085,126.9117177,0.048342429,0.164734022,0.032463497,0.300514376
294,11560132,신길동,Singil-dong,37.5058261,126.9126514,0.025186044,0.126975602,0.074500821,0.296839569
295,11560131,양화동,Yanghwa-dong,37.5489947,126.8900753,0.03092803,0.164838479,0.025834544,0.31881712
296,11710109,장지동,Jangji-dong,37.4785724,127.1320169,0.22308879,0.098366568,0.269140458,0.09279348
297,11740110,강일동,Gangil-dong,37.5676689,127.1720391,0.259509842,0.169647112,0.292197021,0.051452493
200,11290117,동선동2가,Dongseon-dong 2(i)-ga,37.5900467,127.0197107,0.120137009,0.122031589,0.140892305,0.197632691
298,11500108,공항동,Gonghang-dong,37.5528356,126.8112163,0.106224777,0.238203148,0.071494852,0.397768062
